This file was created by CMPT_ME_PRIOR_RETS using the 202112 CRSP database.  It
contains a momentum factor, constructed from six value-weight portfolios formed
using independent sorts on size and prior return of NYSE, AMEX, and NASDAQ stocks.
LT_Rev is the average of the returns on two (big and small) low prior return portfolios
minus the average of the returns on two high prior return portfolios.  The portfolios
are constructed monthly.  Big means a firm is above the median market cap on the NYSE
at the end of the previous month; small firms are below the median NYSE market cap.
Prior return is measured from month -60 to -13.  Firms in the low prior return
portfolio are below the 30th NYSE percentile.  Those in the high portfolio are above
the 70th NYSE percentile.

Missing data are indicated by -99.99 or -999.

,LT_Rev
199612,  -0.58
199701,  -1.55
199702,   0.89
199703,   2.09
199704,  -3.86
199705,  -2.15
199706,   0.19
199707,  -1.10
199708,   3.20
199709,  -0.42
199710,   0.43
199711,   1.13
199712,   0.10
199801,  -0.91
199802,  -1.29
199803,   2.22
199804,  -0.87
199805,   1.42
199806,  -0.76
199807,   0.34
199808,   4.63
199809,   0.33
199810,  -4.25
199811,  -0.44
199812,  -0.97
199901,   1.04
199902,   0.38
199903,  -1.21
199904,   5.46
199905,   3.41
199906,   0.54
199907,   1.81
199908,  -1.82
199909,   0.39
199910,  -2.86
199911,   4.84
199912,   5.50
200001,   1.67
200002,   7.33
200003,  -5.15
200004,   0.28
200005,  -1.70
200006,   2.35
200007,  -3.01
200008,   1.21
200009,  -2.60
200010,  -0.93
200011,   0.48
200012,   2.75
200101,  -2.57
200102,  10.99
200103,   3.71
200104,  -3.75
200105,   3.75
200106,   1.81
200107,   2.76
200108,   5.89
200109,   0.01
200110,  -1.53
200111,   0.40
200112,   1.11
200201,   3.30
200202,   4.07
200203,   2.08
200204,   5.96
200205,   2.36
200206,   2.09
200207,  -3.00
200208,  -0.53
200209,  -0.68
200210,  -0.20
200211,   4.22
200212,   2.05
200301,   0.31
200302,  -1.85
200303,  -2.75
200304,  -0.82
200305,   3.53
200306,   1.20
200307,   0.37
200308,  -0.47
200309,   1.10
200310,   2.00
200311,   1.92
200312,   1.92
200401,   2.01
200402,  -2.91
200403,  -1.77
200404,  -2.23
200405,   0.88
200406,   1.76
200407,  -2.55
200408,  -2.91
200409,  -1.34
200410,   0.93
200411,  -1.12
200412,   0.88
200501,  -2.97
200502,  -1.44
200503,  -0.69
200504,  -1.44
200505,   0.60
200506,  -1.55
200507,   0.90
200508,   0.41
200509,  -0.07
200510,  -0.93
200511,   0.27
200512,  -0.89
200601,   1.20
200602,   1.30
200603,   0.51
200604,  -0.33
200605,  -0.14
200606,  -1.10
200607,   1.41
200608,   2.99
200609,   1.78
200610,  -0.51
200611,  -1.91
200612,   1.93
200701,  -0.72
200702,  -0.68
200703,  -1.14
200704,   0.31
200705,  -2.48
